"","Cutibacterium","Streptococcus","Rothia","Prevotella_7","Actinomyces","Pseudopropionibacterium","Corynebacterium_1","Pelomonas","Neisseria","Butyrivibrio_2","Fusobacterium","Atopobium","Stenotrophomonas","Johnsonella","Nesterenkonia","Peptostreptococcus","Gemella","Prevotella_6","Parvimonas","Acinetobacter","Prevotella","Selenomonas_3","Granulicatella","Veillonella","Moraxella","Microbacterium","Ralstonia","Cardiobacterium","Capnocytophaga","Staphylococcus","Pseudomonas","Oribacterium","Slackia","Solobacterium","Mycoplasma","Corynebacterium","Propionibacterium","Anaerococcus","Lautropia","Alcaligenes","Aliicoccus","Mogibacterium","Candidatus_Saccharimonas","Atopostipes","F0058","Tannerella","Haemophilus","Mesorhizobium","Dolosigranulum","Oceanobacillus","Prevotella_2","Porphyromonas","Stomatobaculum","Alcanivorax","Planococcus","Treponema_2","Micrococcus","Dialister","Alloprevotella","Variovorax","Lactobacillus","Actinobacillus","Catonella","Propioniciclava","Abiotrophia","Megasphaera","Lachnoanaerobaculum","Ruminococcaceae_UCG-014","Peptoniphilus","F0332","Aggregatibacter","Burkholderia-Caballeronia-Paraburkholderia","Aquipuribacter","Hymenobacter","Actinopolyspora","Finegoldia","Nocardioides","Bulleidia","Rubellimicrobium","Salinicoccus","Massilia","Bergeyella","Rikenellaceae_RC9_gut_group","Peptococcus","Amaricoccus","Paracoccus","Aphelidium","Leptotrichia"
"29-B1",0.281364636830521,0.277146001467351,0.358950843727073,0,0.0396184886280264,0,0,0.0141232575201761,0,0,0,0,0,0,0,0,0.0146735143066764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121056493030081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201760821716801,0,0,0
"30-B1",0.286228983186549,0.287429943955164,0,0.0110088070456365,0.0596477181745396,0,0,0,0,0,0.0536429143314652,0,0,0,0,0,0.077662129703763,0,0.0730584467574059,0.00280224179343475,0,0,0.0128102481985588,0.0106084867894315,0,0,0,0,0,0,0,0.00900720576461169,0,0.00420336269015212,0,0,0,0,0,0,0,0.0184147317854283,0.00720576461168935,0,0,0,0,0,0,0,0,0,0.00500400320256205,0,0,0,0,0,0,0,0,0,0.0056044835868695,0,0,0,0,0,0.00280224179343475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-B2",0.301700984780662,0.0151447329155476,0,0,0.176962100865413,0.163309459862728,0,0,0.00402864816472695,0,0.0182035213369144,0,0,0.0141748731721874,0,0.00164130110414802,0,0,0,0,0.00760966875559534,0.0338704864219636,0,0.00805729632945389,0,0.00186511489107729,0.00432706654729931,0.0317069531483139,0.0294688152790212,0,0.000969859743360191,0,0,0,0,0.0475231274246494,0,0,0,0,0,0,0,0,0.011414503133393,0.00835571471202626,0,0,0,0,0.0114891077290361,0,0,0,0,0.00701283199045061,0,0,0,0,0,0,0,0,0,0,0.00559534467323187,0.00387943897344076,0,0.00320799761265294,0.00313339301700985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855
"32-B3",0.509207065013153,0.0727796567706376,0.0314418138544407,0.0122760866842039,0.0536139296004009,0,0,0.00638857572341225,0,0.070524865338845,0.00701490667668796,0.0696480020042591,0,0,0,0.00425905048227483,0,0.0186646624076162,0.0164098709758236,0,0.0219215833646499,0,0,0.00638857572341225,0,0.00638857572341225,0.00651384191406739,0,0,0.00463484905424026,0,0,0,0.00952023048979081,0,0,0,0.0245521733684079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826756858323938,0,0,0,0,0,0,0,0,0,0.00375798571965427,0,0,0,0,0,0,0,0,0.00375798571965427,0,0,0,0,0.00187899285982713,0,0,0,0,0
"33-B1",0.876848456169407,0,0,0,0,0,0.0136046374068378,0,0,0,0,0,0,0,0,0,0,0,0,0.00970069797704957,0,0,0,0,0.0630545368508222,0.00461374659884065,0,0,0.00224772270199929,0,0,0,0,0,0,0,0,0.0231870341890453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390393942978824,0,0,0,0,0.00224772270199929,0,0,0,0,0,0,0
"34-B1",0.976012793176972,0,0,0,0,0,0,0.0127931769722814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-B2",0.455922865013774,0.0749099385463022,0.00847637211273575,0.00572155117609663,0.0364484000847637,0,0.00974782792964611,0.00211909302818394,0.0757575757575758,0,0.0362364907819453,0,0,0.0577452850180123,0.0773468955287137,0,0.00413223140495868,0,0,0.0190718372536554,0,0,0,0,0,0.00402627675354948,0.012396694214876,0,0,0,0,0,0,0,0.0327399872854418,0,0,0,0,0,0.0173765628311083,0,0,0,0,0,0.0187539732994278,0,0,0.0105954651409197,0,0,0,0.00190718372536554,0,0,0,0.00731087094723458,0,0,0,0,0.00603941513032422,0,0.00445009535918627,0,0,0,0,0,0,0,0.00402627675354948,0,0,0,0.0033905488450943,0,0,0,0,0.000635727908455181,0,0,0,0,0,0
"36-B3",0.0794701986754967,0.235199678908288,0.124423038330323,0.0160545855910094,0.101143889223359,0.196066626530203,0,0,0.0565924142083082,0,0.0429460164559502,0,0,0,0,0.0198675496688742,0.0186634557495485,0,0,0,0,0,0.0188641380694361,0.0108368452739314,0,0,0,0,0,0,0,0.0168573148705599,0,0,0,0.00642183423640377,0,0,0,0,0,0,0,0,0,0,0.013646397752358,0,0,0,0,0.00682319887617901,0,0,0,0,0,0,0.00762592815572948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240818783865141,0,0,0,0
"37-B1",0.046677959721438,0.132316958403915,0.01562205910032,0.405985319028797,0.0877093920572181,0,0,0.023338979860719,0.00508187464709204,0,0.0218332392245436,0.0617353660831922,0,0,0,0.0141163184641446,0.015433841520798,0.0438546960286091,0.00489365706757011,0,0.0212685864859778,0.0195746282702804,0,0.028420854507811,0,0,0,0,0,0,0,0.00470543948804818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395256916996047,0,0,0,0,0.0137398833051007,0,0,0,0.0020703933747412,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38-B2",0.0180221811460259,0.301756007393715,0.0804066543438078,0.136090573012939,0.117375231053604,0,0,0,0.00970425138632163,0,0.0219500924214418,0.0325785582255083,0,0,0,0.0573012939001848,0.0397412199630314,0.019177449168207,0.0277264325323475,0,0.0226432532347505,0,0.0240295748613678,0.011090573012939,0,0,0,0,0.000462107208872458,0,0,0,0,0.0101663585951941,0,0,0,0,0,0,0,0.0138632162661738,0.00323475046210721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157116451016636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39-B3",0.0674471055740522,0.193534529051659,0.0299645580496187,0.354526903662335,0.041348942111481,0,0,0.00257759639136505,0,0,0.0314681559445817,0.00676619052733326,0,0,0,0.0165395768445924,0.00687359037697347,0.0329717538395446,0.0100955858661798,0,0.0340457523359467,0,0.00988078616689937,0.0585329180539147,0,0,0,0,0.000859198797121684,0,0,0.00461819353452905,0,0.00451079368488884,0.0144989797014284,0,0.0293201589517775,0,0,0,0,0.00343679518848674,0,0,0,0,0.00955858661797874,0.00171839759424337,0,0,0,0.00826978842229621,0,0,0,0.00161099774460316,0,0,0,0,0,0,0.00139619804532274,0,0,0.00590699173021158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40-B1",0.215483234714004,0,0,0,0,0,0.00542406311637081,0.309171597633136,0,0,0,0,0,0,0,0,0,0,0,0.0744575936883629,0,0,0,0,0,0.207100591715976,0.0212031558185404,0,0,0,0.0468441814595661,0,0,0,0,0,0,0,0,0,0,0,0,0.0571992110453649,0,0,0,0.0468441814595661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41-B2",0.0275675675675676,0.308108108108108,0.0324324324324324,0.0121621621621622,0.0867567567567568,0,0.0616216216216216,0,0.0467567567567568,0,0.0302702702702703,0,0,0,0,0,0.0543243243243243,0,0.012972972972973,0,0.0289189189189189,0.184864864864865,0.0197297297297297,0,0,0,0,0.0291891891891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124324324324324,0,0,0,0.0227027027027027,0,0,0,0,0,0,0,0,0,0,0,0.00891891891891892,0,0,0,0,0,0.0154054054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42-B3",0.417099056603774,0.0936320754716981,0,0.0410377358490566,0.038561320754717,0.0507075471698113,0.150707547169811,0.00790094339622642,0,0.0613207547169811,0,0,0,0,0,0.00235849056603774,0.00825471698113208,0,0,0,0.0089622641509434,0.0767688679245283,0,0.00365566037735849,0,0,0,0,0,0,0,0.00188679245283019,0.0283018867924528,0,0,0,0,0,0,0,0,0,0.00707547169811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017688679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44-B2",0.926006631927996,0.0475603979156798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236854571293226,0,0,0,0,0,0,0,0,0,0.00511605873993368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-B3",0.33864830585251,0.376336292806668,0.0221054538865737,0,0,0,0.0880594310563508,0,0,0,0,0,0,0,0,0,0,0,0,0.00761007428882044,0,0,0,0,0,0.00887842000362385,0,0,0,0.0681282841094401,0.0237361840913209,0,0,0,0,0,0,0,0,0.00525457510418554,0,0,0,0,0,0,0,0,0.019206377967023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010690342453343,0,0,0,0,0,0,0,0.00724768979887661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46-B1",0.601236476043277,0.0989180834621329,0.0525502318392581,0,0.106646058732612,0,0,0,0.0386398763523957,0,0.0401854714064915,0,0,0,0,0,0.0618238021638331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49-B1",0.0183691756272401,0.387096774193548,0.122087813620072,0.0288978494623656,0.237903225806452,0,0,0,0.0228494623655914,0,0.017921146953405,0.0378584229390681,0,0,0,0,0.019489247311828,0,0,0,0.0100806451612903,0,0.0452508960573477,0,0,0,0,0,0,0,0,0,0,0.014336917562724,0,0,0,0,0,0,0,0.0116487455197133,0,0,0,0,0.00627240143369176,0,0,0,0,0,0.00828853046594982,0,0,0,0,0,0.00560035842293907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-B2",0.457409782011357,0.121817182634182,0.0500091591866642,0.0316907858582158,0.152592049825975,0,0,0,0,0,0.00842645173108628,0.0157538010624657,0,0,0,0.00439640959882762,0.0254625389265433,0.00842645173108628,0,0,0.0326067045246382,0,0,0,0,0,0.00439640959882762,0,0,0.0058618794651035,0,0,0.0155706173291812,0.011357391463638,0,0,0,0,0,0,0,0.00164865359956036,0,0,0,0,0,0,0,0,0,0.011357391463638,0.00549551199853453,0.0058618794651035,0,0,0,0,0.0119069426634915,0,0,0,0,0,0,0,0.0100751053306466,0,0,0,0,0,0,0,0,0,0,0,0.00531232826525005,0,0,0,0,0,0,0,0,0
"52-B1",0.26614481409002,0.128941074146554,0.035442487497282,0.0219612959338987,0.433572515764297,0,0,0.0121765601217656,0.0247879973907371,0,0.0113068058273538,0,0,0,0,0.0145683844313981,0.015220700152207,0,0,0,0,0,0,0.00173950858882366,0,0,0,0,0.0091324200913242,0.0115242444009567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115242444009567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0
"53-B2",0.350843558282209,0.270322085889571,0.0517638036809816,0,0.0176380368098159,0,0.0040260736196319,0,0,0,0,0,0.145897239263804,0,0,0,0.0239647239263804,0,0,0.0373849693251534,0,0,0,0.0128450920245399,0,0.0138036809815951,0,0,0,0,0,0,0,0,0,0,0,0,0.00479294478527607,0,0,0,0,0,0,0,0.0128450920245399,0,0,0,0,0.00843558282208589,0,0.00287576687116564,0.0155291411042945,0,0,0,0,0,0,0.0126533742331288,0,0,0,0,0,0,0,0,0,0,0,0,0.0067101226993865,0,0,0,0,0.0053680981595092,0,0,0,0,0,0,0,0
"54-B3",0.931540342298289,0,0,0,0,0,0,0.00358598207008965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537897310513447,0,0,0.00635696821515892,0,0,0,0,0,0,0,0,0,0.0241238793806031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277098614506927,0,0,0.0115729421352893,0,0,0.0112469437652812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162999185004075,0,0
