"","Faecalibacterium","Fusicatenibacter","Lactobacillus","Carnobacterium","Abiotrophia","Granulicatella","Fructobacillus","Mycoplasma","Leptotrichia","Treponema 2","Hymenobacter","uncultured bacterium","Pedobacter","Rikenellaceae RC9 gut group","Alloprevotella","Prevotella 6","Prevotella 2","Prevotella 7","Prevotella","uncultured","Tannerella","Porphyromonas","uncultured bacterium","Flavobacterium","Capnocytophaga","Cloacibacterium","Bergeyella","Bdellovibrio","Silanimonas","Salinibacter","Stenotrophomonas","Pseudomonas","Alcanivorax","Escherichia-Shigella","Aggregatibacter","Actinobacillus","Haemophilus","Alkanindiges","Moraxella","Psychrobacter","Acinetobacter","Cardiobacterium","Neisseria","Burkholderia","Massilia","Ralstonia","Delftia","Acidovorax","Ottowia","Variovorax","Hydrogenophaga","Comamonas","Schlegelella","Pelomonas","Achromobacter","Alcaligenes","Lautropia","Bradyrhizobium","Brevundimonas","Rubellimicrobium","Paracocccus","Mesorhizobium","Deinococcus","Pleurocapsa","uncultured bacterium","Camelina sativa","Peptococcus","Peptostreptococcus","uncultured bacterium","Candidatus Saccharimonas","Mogibacterium","Family XIII UCG-001","uncultured","[Eubacterium] brachy group","unidentified","Filifactor","Peptoclostridium","Anaerococcus","Peptoniphilus","Finegoldia","Parvimonas","Atopobium","Slackia","Selenomonas","Oceanobacillus","Bacillus","Planomicrobium","Planococcus","Aliicoccus","Salinicoccus","Jeotgalicoccus","Staphylococcus","uncultured","[Eubacterium] nodatum group","Butyrivibrio 2","Catonella","uncultured","Johnsonella","Lachnoanaerobaculum","Oribacterium","Lachnospira","Stomatobaculum","Blautia","[Ruminococcus] gauvreauii group","Megasphaera","Dialister","Anaerovibrio","uncultured","Selenomonas 3","Veillonella","Ruminococcaceae UCG-005","Ruminococcaceae UCG-014","Solobacterium","Bulleidia","Alloiococcus","Dolosigranulum","Atopostipes","Gemella","Fusobacterium","Propionibacterium","Actinomyces","Propioniciclava","Mycobacterium","Actinopolyspora","Pseudonocardia","uncultured","Corynebacterium","Corynebacterium 1","Gordonia","uncultured","Micrococcus","Arthrobacter","Rothia","Quadrisphaera","uncultured Acidimicrobidae bacterium","Blastococcus","Microbacterium","Nocardioides","Aquipuribacter","Janibacter","Nesterenkonia","Yimella","uncultured","Streptococcus"
"29-B1",0.0,0.0,0.029854339713494642,0.0,0.0,0.003009510051763573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009510051763572891,0.0,0.0,0.0,0.0,0.00036114120621162876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021307331166486095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03178042614662333,0.0,0.2319730347899362,0.06837606837606838,0.0,0.0,0.00048152160828217165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007222824124232575,0.4488985193210545,0.0,0.0,0.0,0.0,0.001203804020705429,0.0,0.0,0.0,0.0,0.0,0.15252196942337787
"30-B1",0.0,0.0,0.0,0.0,0.0,0.01755734973728053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030757400999615533,0.00012815583749839805,0.0,0.012431116237344612,0.0030757400999615533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012815583749839805,0.0,0.0,0.0,0.0,0.00038446751249519417,0.00012815583749839805,0.0,0.0,0.0,0.0,0.0,0.00012815583749839805,0.0,0.00397283096245034,0.0,0.0,0.0007689350249903883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006407791874919902,0.0,0.0015378700499807767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035883634499551454,0.012559272074843008,0.02691272587466359,0.0,0.0,0.040369088811995385,0.0,0.0,0.0,0.0,0.004229142637447136,0.0,0.13007817506087402,0.0008970908624887864,0.0002563116749967961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002691272587466359,0.0005126233499935922,0.0,0.006664103549916698,0.0,0.0,0.0,0.023836985774702037,0.0,0.009996155324875048,0.0,0.0,0.0,0.0007689350249903883,0.0,0.0,0.00012815583749839805,0.023836985774702037,0.0,0.0,0.008201973599897475,0.004998077662437524,0.0,0.0,0.0,0.11059848776111753,0.0016660258874791746,0.16737152377290784,0.10649750096116878,0.0,0.0,0.0,0.0,0.00038446751249519417,0.0,0.018838908112264515,0.0,0.0,0.0,0.0,0.0010252466999871844,0.0,0.0,0.0,0.0014097142124823785,0.0,0.0,0.0,0.0,0.0,0.0,0.24772523388440343
"31-B2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021278859453133312,0.0007447600808596659,0.008724332375784658,0.0,0.0,0.0,0.0,0.0003191828917969997,0.0,0.017023087562506648,0.0006383657835939994,0.009788275348441323,0.018193424832428983,0.009149909564847325,0.0022342802425789976,0.0,0.0,0.0025534631343759975,0.0,0.00010639429726566656,0.0,0.0,0.0,0.0,0.0006383657835939994,0.0,0.0,0.007128417916799659,0.0,0.0,0.0,0.0,0.0,0.004362166187892329,0.03766358123204596,0.0006383657835939994,0.00042557718906266625,0.0,0.0047877433769549956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047877433769549956,0.0,0.0,0.0032982232152356634,0.0,0.0010639429726566655,0.0,0.00021278859453133312,0.0,0.0,0.0,0.0,0.0,0.00042557718906266625,0.0025534631343759975,0.024896265560165973,0.00308543462070433,0.0,0.0,0.0,0.008405149483987658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012767315671879987,0.0,0.0,0.0,0.0,0.10650069156293222,0.029896797531652305,0.010852218321097989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014895201617193318,0.04649430790509629,0.02191722523672731,0.0,0.007128417916799659,0.0,0.0,0.0,0.0,0.0,0.0015959144589849984,0.039685072880093625,0.3196084689860623,0.0941589530801149,0.0,0.0,0.0,0.0,0.0,0.12182147036918821,0.00021278859453133312,0.0,0.002447068837110331,0.0,0.00042557718906266625,0.0006383657835939994,0.0,0.0,0.0,0.002021491648047665,0.0003191828917969997,0.0,0.0,0.0,0.0,0.0027662517289073307,0.014682413022661985
"32-B3",0.0,0.0,0.0,0.0,0.0009488666315234581,0.00010542962572482868,0.0,0.0,0.0,0.0,0.0,0.0010542962572482868,0.0,0.002530311017395888,0.0016868740115972588,0.012967843964153927,0.0,0.01750131787032156,0.014865577227200843,0.0,0.0,0.0,0.0011597258829731155,0.0,0.0008434370057986294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003268318397469689,0.0,0.0,0.0005271481286241434,0.0031628887717448603,0.0,0.0,0.0021085925144965737,0.0,0.005060622034791776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008118081180811807,0.0,0.0,0.0,0.0,0.0008434370057986294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008223510806536636,0.02561939905113337,0.003900896151818661,0.0024248813916710596,0.0,0.0,0.006958355297838692,0.01676331049024776,0.0,0.0,0.0279388508170796,0.004322614654717976,0.0,0.03110173958882446,0.012440695835529784,0.0,0.008434370057986295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005060622034791776,0.0,0.0063257775434897206,0.006852925672113864,0.0063257775434897206,0.0,0.0,0.0,0.04185556141275699,0.0,0.002635740643120717,0.0,0.0,0.0004217185028993147,0.00010542962572482868,0.0,0.0,0.0,0.01739588824459673,0.0,0.0015814443858724301,0.02224565102793885,0.006852925672113864,0.0,0.0,0.0,0.0005271481286241434,0.0,0.43774380600948865,0.09604638903531892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03995782814971007,0.0,0.0,0.0,0.01591987348444913,0.0,0.0,0.0,0.0005271481286241434,0.0,0.0,0.06673695308381655
"33-B1",0.0,0.0,0.0,0.0,0.0,0.0,0.000502108857200241,0.0,0.0,0.0,0.0,0.0,0.0006025306286402892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012050612572805785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329584253866238,0.0,0.019883510745129545,0.0,0.0,0.0014059048001606748,0.003414340228961639,0.0002008435428800964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002008435428800964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02239405503113075,0.0,0.004619401486242217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003514762000401687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7669210684876481,0.0,0.0,0.0,0.0,0.0,0.0,0.0001004217714400482,0.03464551114681663,0.0,0.0,0.0,0.0,0.0002008435428800964,0.0,0.0,0.0009037959429604338,0.003615183771841735,0.0,0.0004016870857601928,0.0,0.0,0.0,0.0,0.000502108857200241
"34-B1",0.0,0.0,0.0,0.00181068302987627,0.0,0.00181068302987627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013077155215773062,0.0,0.0,0.002213057036515441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008651041142742179,0.00010059350165979277,0.0,0.0,0.0,0.00794688663112363,0.0,0.0,0.0,0.004526707574690675,0.0,0.0,0.010059350165979277,0.0,0.01740267578714415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017704456292123527,0.0,0.0,0.0,0.0007041545116185494,0.0,0.0,0.000905341514938135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007041545116185494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020118700331958554,0.0,0.00181068302987627,0.00010059350165979277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010059350165979277,0.0,0.0,0.0,0.0,0.0,0.0,0.8691278543406096,0.008047480132783422,0.0,0.0,0.002716024544814405,0.0,0.0,0.008148073634443215,0.00030178050497937833,0.01629614726888643,0.0,0.0008047480132783422,0.0,0.002313650538175234,0.0,0.0,0.0,0.013680716225731818,0.0,0.0,0.0,0.0,0.0,0.0,0.0005029675082989639
"35-B2",0.0011575562700964631,0.0003858520900321543,0.0,0.0,0.01247588424437299,0.0,0.0,0.06315112540192926,0.0,0.0,0.0,0.0,0.0,0.0,0.0002572347266881029,0.0,0.0,0.00887459807073955,0.0,0.0,0.0,0.0014147909967845659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018006430868167203,0.00012861736334405144,0.0,0.0,0.05260450160771704,0.0,0.0005144694533762058,0.0,0.040128617363344055,0.0,0.0,0.0,0.0,0.014405144694533762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244372990353698,0.0,0.0005144694533762058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00887459807073955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024437299035369776,0.0,0.0,0.0,0.03189710610932476,0.0,0.0,0.0,0.0,0.0,0.0,0.013247588424437299,0.0,0.16154340836012862,0.0,0.0,0.0,0.0,0.0005144694533762058,0.0,0.0,0.0007717041800643086,0.0,0.0,0.0,0.0045016077170418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011061093247588425,0.04077170418006431,0.26495176848874596,0.09659163987138264,0.0,0.0,0.0,0.0,0.0,0.0,0.016720257234726688,0.0,0.0,0.0,0.0,0.011704180064308681,0.0,0.0,0.0,0.006945337620578778,0.007202572347266881,0.007845659163987138,0.0,0.07421221864951769,0.0,0.0,0.01414790996784566
"36-B3",0.0,0.0,0.0,0.0,0.001605872906629961,0.03234686854783207,0.0,0.0009176416609314062,0.0,0.0,0.0,0.0,0.0,0.0,0.00653819683413627,0.00011470520761642578,0.0004588208304657031,0.006308786418903418,0.0019499885294792384,0.0009176416609314062,0.0,0.007914659325533379,0.0,0.0,0.00022941041523285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020646937370956643,0.0005735260380821289,0.023055746730901584,0.0,0.00034411562284927734,0.0,0.0034411562284927736,0.0,0.0066529020417526955,0.00034411562284927734,0.0,0.0,0.00011470520761642578,0.0,0.0,0.0,0.0004588208304657031,0.0,0.0010323468685478321,0.002638219775177793,0.0,0.0,0.00011470520761642578,0.0,0.0,0.0,0.00011470520761642578,0.0,0.0,0.0,0.0,0.0,0.0025235145675613674,0.02993805918788713,0.0146822665749025,0.0025235145675613674,0.0043587978894241795,0.0004588208304657031,0.00011470520761642578,0.023170451938518008,0.0,0.006767607249369121,0.0008029364533149805,0.0,0.0,0.0,0.011011699931176875,0.00022941041523285156,0.0,0.0011470520761642578,0.0,0.0,0.0,0.0,0.0008029364533149805,0.0,0.0,0.0,0.0,0.0,0.0,0.006308786418903418,0.001605872906629961,0.005735260380821289,0.0006882312456985547,0.025808671713695802,0.0,0.011470520761642579,0.0,0.0,0.0,0.0,0.0,0.0,0.0028676301904106446,0.01938518008717596,0.0,0.0010323468685478321,0.0014911676990135353,0.0004588208304657031,0.0,0.0,0.0,0.07008488185363615,0.048290892406515254,0.1254874971323698,0.17102546455609086,0.0,0.0,0.0,0.0006882312456985547,0.0,0.009176416609314062,0.0,0.0,0.0,0.0,0.0,0.09463179628355127,0.0,0.0,0.0020646937370956643,0.00034411562284927734,0.0004588208304657031,0.0,0.0,0.0,0.0,0.0012617572837806837,0.20084881853636155
"37-B1",0.0,0.0,0.0,0.0,0.0010383017997231195,0.010383017997231195,0.0,0.004730041532071989,0.0,0.0049607752653437935,0.0,0.0,0.0,0.0,0.011882787263497924,0.03587909552376557,0.0,0.3281033687125058,0.014536225196123673,0.0,0.0,0.013497923396400553,0.0,0.0,0.0,0.0,0.0,0.0,0.00046146746654360867,0.0006922011998154131,0.00011536686663590217,0.00023073373327180433,0.0,0.0,0.0,0.005076142131979695,0.009806183664051685,0.0,0.0,0.0,0.0053068758652515,0.0,0.00011536686663590217,0.0018458698661744347,0.0,0.0024227041993539456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024111675126903553,0.0,0.0,0.00023073373327180433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021919704660821413,0.0027688047992616522,0.0,0.00034610059990770653,0.0,0.00046146746654360867,0.018920166128287955,0.0,0.0,0.0,0.0,0.0,0.0,0.006114443931702815,0.009921550530687587,0.0,0.0025380710659898475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034610059990770653,0.00023073373327180433,0.0,0.0,0.0,0.00023073373327180433,0.009229349330872173,0.0,0.0,0.0,0.0,0.0025380710659898475,0.0,0.0,0.0,0.001961236732810337,0.08421781264420858,0.0,0.0,0.0013844023996308261,0.004730041532071989,0.0,0.0,0.0,0.03772496538994001,0.02284263959390863,0.02988001845869866,0.15724503922473465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01718966312874942,0.0,0.0,0.005191508998615597,0.002076603599446239,0.0,0.0,0.0,0.0,0.0,0.0,0.08456391324411629
