"","Mollicutes","Spirochaetes","Cytophagia","Bacteroidia","Sphingobacteriia","Flavobacteriia","Deltaproteobacteria","Gammaproteobacteria","Betaproteobacteria","Alphaproteobacteria","Deinococci","Cyanobacteria","Chloroplast","uncultured bacterium","Unknown Class","Coriobacteriia","Clostridia","Negativicutes","Erysipelotrichia","Fusobacteriia","Actinobacteria","Acidimicrobiia","Bacilli"
"29-B1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008203362365809196,0.018229694146242658,0.00040510431436094796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6323678347174397,0.0,0.34079400445614744
"30-B1",0.0,0.0,0.0,0.022012935436287302,0.0,0.00011346873936230568,0.0,0.004084874617043005,0.0026097810053330307,0.0,0.0,0.0,0.0,0.003177124702144559,0.011119936457505957,0.0010212186542607512,0.2171791671394531,0.021899466696924996,0.011687280154317485,0.001475093611709974,0.2616589129694769,0.0,0.44196073981618067
"31-B2",0.0002117074203450831,0.008680004234148407,0.0,0.057055149782999894,0.0,0.0026463427543135386,0.0,0.049539536360749446,0.0163014713665714,0.0012702445220704986,0.0,0.0,0.0,0.024769768180374723,0.003069757595003705,0.0,0.16492008044881973,0.06954588758335979,0.0,0.04022440986556579,0.5419709960834127,0.0,0.01979464380226527
"32-B3",0.0,0.0,0.0,0.058403103941188486,0.002144169899938738,0.0008168266285480906,0.0,0.006738819685521748,0.01592811925668777,0.0008168266285480906,0.0,0.0,0.0,0.024811108842148256,0.0037778231570349194,0.012048192771084338,0.15815805595262405,0.025525832142127832,0.028180518684909128,0.0,0.5715744333265265,0.0,0.09107616908311211
"33-B1",0.0,0.0,0.0,0.0,0.0006018657839301836,0.0012037315678603672,0.0,0.15267328719028989,0.007021767479185475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026983649312869895,0.0,0.0,0.0,0.8062995285384692,0.0,0.0052161701273949245
"34-B1",0.0,0.0,0.0,0.0050110242533573865,0.0,0.0,0.0,0.02114652234916817,0.04499899779514933,0.0016035277610743637,0.0,0.0,0.0,0.0007015433954700341,0.0,0.0,0.0021046301864101023,0.0,0.00010022048506714773,0.0,0.9185207456404089,0.0,0.005812788133894568
"35-B2",0.05565000566700669,0.0,0.0,0.00929389096679134,0.0,0.0,0.0,0.08387169896860479,0.06936416184971098,0.0,0.0,0.0,0.0,0.007820469228153689,0.0,0.0,0.1566360648305565,0.00464694548339567,0.0,0.035928822396010425,0.42842570554233256,0.0,0.14836223506743737
"36-B3",0.0008377840611582365,0.0,0.0,0.025552413865326213,0.0,0.00020944601528955913,0.0,0.026913812964708347,0.036338883652738505,0.00010472300764477956,0.0,0.0,0.0,0.013404544978531784,0.0023039061681851504,0.00020944601528955913,0.12032673578385171,0.02136349355953503,0.0017802911299612525,0.044088386218452194,0.3698816630013614,0.0,0.33668446957796627
"37-B1",0.004233787691036762,0.004440313919867823,0.0006195786864931846,0.36327963651383727,0.0,0.0,0.0,0.0187938868236266,0.030049566294919453,0.0,0.0,0.0,0.0,0.0024783147459727386,0.0,0.008880627839735646,0.052664188351920695,0.08168112350268485,0.005472945064023131,0.020446096654275093,0.18938455183808345,0.0,0.21757538207352334
"38-B2",0.005239991616013414,0.00031439949696080485,0.0,0.09809264305177112,0.0,0.0012575979878432194,0.0,0.010794382728987634,0.0038775937958499267,0.0,0.0,0.0,0.0,0.007231188430098512,0.00366799413120939,0.0039823936281701946,0.1876964996856005,0.06392789771536365,0.015195975686438901,0.018759169985328023,0.2253196394885768,0.0,0.3546426325717879
"39-B3",0.028718941594062602,0.003764655265139292,0.0,0.3075185543723782,0.0,0.0012907389480477573,0.0,0.02452404001290739,0.006668817898246747,0.0008604926320318382,0.0,0.0,0.0,0.017532537377648705,0.006346133161234807,0.0011831773690437776,0.08357534688609229,0.13057975691083146,0.006776379477250726,0.015381305797569108,0.13907712165214586,0.0,0.22620200064536947
"40-B1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431598062953995,0.31618240516545604,0.0557909604519774,0.0,0.0,0.0,0.0,0.0,0.0,0.00645682001614205,0.0,0.0,0.0,0.39588377723970947,0.010290556900726392,0.07223567393058919
"41-B2",0.0004145077720207254,0.0,0.0,0.046632124352331605,0.0,0.0009326424870466321,0.0,0.0705699481865285,0.026528497409326425,0.0,0.0,0.0,0.0,0.0025906735751295338,0.039378238341968914,0.0,0.054196891191709846,0.03989637305699482,0.000310880829015544,0.05772020725388601,0.2525388601036269,0.0,0.4082901554404145
"42-B3",0.0,0.0,0.0,0.04004829945663111,0.0,0.0,0.0006037432078889113,0.013785469913463473,0.012276111893741195,0.0001006238679814852,0.0,0.001006238679814852,0.0,0.0007043670758703965,0.013282350573556048,0.0074461662306299055,0.024451599919500907,0.020627892936204466,0.0007043670758703965,0.0,0.6927953310525257,0.0,0.17216743811632118
"44-B2",0.0,0.0,0.0,0.0006033182503770739,0.0,0.0,0.0,0.006435394670688788,0.00020110608345902463,0.003117144293614882,0.0008044243338360985,0.0,0.0,0.0,0.0,0.0,0.002011060834590246,0.0015082956259426848,0.0,0.00010055304172951231,0.8866767219708396,0.0,0.09854198089492207
"45-B3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03078169299311462,0.02176994734710409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01377075739165654,0.0017213446739570675,0.0,0.0,0.4251721344673957,0.0,0.506784123126772
"48-B3",0.0,0.0,0.004541701073492981,0.01703137902559868,0.0,0.0013418662262592899,0.0,0.023947151114781174,0.06420313790255987,0.0,0.0,0.0,0.0,0.015586292320396367,0.01610239471511148,0.0,0.06141618497109826,0.019611890999174236,0.0,0.1106523534269199,0.3417630057803468,0.0,0.32380264244426094
"49-B1",0.00072038695070495,0.0,0.0,0.04651641453123392,0.00041164968611711434,0.00072038695070495,0.0,0.01101162910363281,0.009056293094576515,0.0,0.0,0.0,0.0,0.003704847175054029,0.00020582484305855717,0.0057630956056396,0.0509416486569929,0.03128537614490069,0.016465987444684572,0.020479571884326437,0.349078933827313,0.0,0.45363795410106
"50-B2",0.0,0.0,0.0006199628022318661,0.07005579665220087,0.0004133085348212441,0.00010332713370531102,0.0,0.011469311841289522,0.014879107253564786,0.0041330853482124405,0.0,0.0,0.0016532341392849763,0.007439553626782393,0.0,0.0051663566852655505,0.05393676379417235,0.037404422401322586,0.01735895846249225,0.013639181649101054,0.5560033064682786,0.0,0.20572432320727424
"52-B1",0.0,0.0,0.0,0.027732128184059162,0.0,0.0,0.0,0.008216926869350863,0.030608052588331963,0.0004108463434675431,0.0006162695152013147,0.0,0.0,0.001437962202136401,0.0,0.0,0.04437140509449466,0.0049301561216105174,0.00585456039441249,0.01509860312243221,0.6667009038619556,0.0,0.19402218570254726
"53-B2",0.0,0.0,0.0,0.01080199735045348,0.0,0.0,0.0,0.2691327830429023,0.02343829613777642,0.0032609803322123715,0.0,0.0,0.0007133394476714562,0.0017323958014878224,0.0,0.0,0.007541017018241109,0.01915825945174768,0.0,0.006114338122898196,0.30816264139406907,0.0,0.3499439519005401
"54-B3",0.0,0.0,0.0,0.00010054293183189222,0.0,0.0010054293183189222,0.0,0.009853207319525437,0.057912728735169915,0.0022119445003016287,0.0,0.0,0.003217373818620551,0.0,0.0,0.0,0.0010054293183189222,0.0003016287954956767,0.0,0.0,0.9069977880554997,0.0,0.017393927206917355
